Suburb,Rooms,Type,Method,SellerG,Distance,Bathroom,Car,Landsize,CouncilArea,Regionname,Propertycount,month
Heidelberg Heights,4,h,S,Miles,10.5,2,4,481.0,Banyule City Council,Eastern Metropolitan,2947.0,4
Heidelberg Heights,2,h,S,Jellis,10.5,2,2,275.0,Banyule City Council,Eastern Metropolitan,2947.0,4
Heidelberg Heights,3,h,S,Nelson,10.5,2,2,337.0,Banyule City Council,Eastern Metropolitan,2947.0,4
Heidelberg Heights,3,h,VB,Miles,10.5,1,1,577.0,Banyule City Council,Eastern Metropolitan,2947.0,4
Heidelberg Heights,2,t,S,Miles,10.5,2,1,201.0,Banyule City Council,Eastern Metropolitan,2947.0,6
Heidelberg Heights,5,h,S,Miles,10.5,5,2,599.0,Banyule City Council,Eastern Metropolitan,2947.0,6
Heidelberg Heights,3,h,S,Barry,10.5,1,2,648.7162568807339,Banyule City Council,Eastern Metropolitan,2947.0,7
Heidelberg Heights,3,h,SP,Miles,10.5,1,2,648.7162568807339,Banyule City Council,Eastern Metropolitan,2947.0,7
Heidelberg Heights,4,h,S,hockingstuart,10.5,2,3,510.0,Banyule City Council,Eastern Metropolitan,2947.0,10
Heidelberg Heights,3,h,S,Love,10.5,2,2,807.0,Banyule City Council,Eastern Metropolitan,2947.0,10
Heidelberg Heights,3,h,SP,Barry,10.5,2,1,665.0,Banyule City Council,Eastern Metropolitan,2947.0,10
Heidelberg Heights,2,h,S,Haughton,10.5,1,3,577.0,Banyule City Council,Eastern Metropolitan,2947.0,10
Heidelberg Heights,3,h,S,Barry,10.5,1,0,673.0,Banyule City Council,Eastern Metropolitan,2947.0,10
Heidelberg Heights,3,h,S,Barry,10.5,1,0,592.0,Banyule City Council,Eastern Metropolitan,2947.0,10
Heidelberg Heights,3,t,VB,Miles,10.5,2,2,215.0,Banyule City Council,Eastern Metropolitan,2947.0,10
Heidelberg Heights,2,h,VB,hockingstuart,10.5,2,1,608.0,Banyule City Council,Eastern Metropolitan,2947.0,10
Heidelberg Heights,3,t,S,Nelson,10.5,2,2,250.0,Banyule City Council,Eastern Metropolitan,2947.0,11
Heidelberg Heights,2,h,S,Barry,10.5,1,2,648.7162568807339,Banyule City Council,Eastern Metropolitan,2947.0,11
Heidelberg Heights,2,h,S,Ray,10.5,1,1,428.0,Banyule City Council,Eastern Metropolitan,2947.0,12
Heidelberg Heights,3,h,S,William,10.5,2,2,585.0,Banyule City Council,Eastern Metropolitan,2947.0,12
Heidelberg Heights,4,h,S,Miles,10.5,2,2,724.0,Banyule City Council,Eastern Metropolitan,2947.0,12
Heidelberg Heights,2,h,S,Fletchers,10.5,1,1,605.0,Banyule City Council,Eastern Metropolitan,2947.0,12
Heidelberg Heights,2,u,VB,Miles,10.5,1,2,281.0,Banyule City Council,Eastern Metropolitan,2947.0,12
Heidelberg Heights,2,h,S,Haughton,10.5,1,3,620.0,Banyule City Council,Eastern Metropolitan,2947.0,4
Heidelberg Heights,5,h,S,hockingstuart,10.5,2,2,596.0,Banyule City Council,Eastern Metropolitan,2947.0,4
Heidelberg Heights,3,h,S,Miles,10.5,1,2,582.0,Banyule City Council,Eastern Metropolitan,2947.0,4
Heidelberg Heights,3,h,SP,Miles,10.5,1,1,608.0,Banyule City Council,Eastern Metropolitan,2947.0,9
Heidelberg Heights,4,h,S,Love,10.5,2,2,648.7162568807339,Banyule City Council,Eastern Metropolitan,2947.0,3
Heidelberg Heights,3,h,S,Miles,10.5,1,2,648.7162568807339,Banyule City Council,Eastern Metropolitan,2947.0,3
Heidelberg Heights,2,h,SP,William,10.5,1,2,648.7162568807339,Banyule City Council,Eastern Metropolitan,2947.0,3
Heidelberg Heights,3,h,S,Haughton,10.5,1,2,580.0,Banyule City Council,Eastern Metropolitan,2947.0,11
Heidelberg Heights,2,u,S,Harcourts,10.5,1,1,166.0,Banyule City Council,Eastern Metropolitan,2947.0,11
Heidelberg Heights,8,h,VB,Miles,10.5,4,4,638.0,Banyule City Council,Eastern Metropolitan,2947.0,11
Heidelberg Heights,3,h,S,Miles,10.5,1,2,800.0,Banyule City Council,Eastern Metropolitan,2947.0,11
Heidelberg Heights,4,h,S,Miles,10.5,1,2,722.0,Banyule City Council,Eastern Metropolitan,2947.0,8
Heidelberg Heights,3,h,VB,Fletchers,10.5,2,2,251.0,Banyule City Council,Eastern Metropolitan,2947.0,8
Heidelberg Heights,2,u,SP,Miles,10.5,1,1,0.0,Banyule City Council,Eastern Metropolitan,2947.0,4
Heidelberg Heights,3,t,PI,Barry,10.5,1,2,286.9240214888718,Banyule City Council,Eastern Metropolitan,2947.0,4
Heidelberg Heights,2,h,S,Fletchers,10.5,1,2,648.7162568807339,Banyule City Council,Eastern Metropolitan,2947.0,9
Heidelberg Heights,2,h,S,Miles,10.5,1,0,837.0,Banyule City Council,Eastern Metropolitan,2947.0,2
Heidelberg Heights,3,h,S,Barry,10.5,1,1,590.0,Banyule City Council,Eastern Metropolitan,2947.0,2
Heidelberg Heights,2,u,S,Darren,10.5,1,1,477.89685658153235,Banyule City Council,Eastern Metropolitan,2947.0,2
Heidelberg Heights,2,h,SP,Barry,10.5,1,2,244.0,Banyule City Council,Eastern Metropolitan,2947.0,2
Heidelberg Heights,3,h,SP,Miles,10.5,1,0,613.0,Banyule City Council,Eastern Metropolitan,2947.0,2
Heidelberg Heights,3,h,S,Miles,10.5,1,1,748.0,Banyule City Council,Eastern Metropolitan,2947.0,2
Heidelberg Heights,2,u,PI,hockingstuart,10.5,1,1,127.0,Banyule City Council,Eastern Metropolitan,2947.0,7
Heidelberg Heights,2,h,S,Barry,10.5,1,1,310.0,Banyule City Council,Eastern Metropolitan,2947.0,6
Heidelberg Heights,2,h,S,Haughton,10.5,1,3,428.0,Banyule City Council,Eastern Metropolitan,2947.0,11
Heidelberg Heights,3,h,VB,Purplebricks,10.5,1,1,420.0,Banyule City Council,Eastern Metropolitan,2947.0,11
Heidelberg Heights,2,h,SP,Fletchers,10.5,1,1,174.0,Banyule City Council,Eastern Metropolitan,2947.0,11
Heidelberg Heights,2,h,S,Miles,10.5,1,2,586.0,Banyule City Council,Eastern Metropolitan,2947.0,5
Heidelberg Heights,2,h,S,Barry,10.5,1,3,932.0,Banyule City Council,Eastern Metropolitan,2947.0,5
Heidelberg Heights,2,h,VB,Nelson,10.5,1,2,508.0,Banyule City Council,Eastern Metropolitan,2947.0,5
Heidelberg Heights,3,h,S,Coventry,10.5,1,4,552.0,Banyule City Council,Eastern Metropolitan,2947.0,5
Heidelberg Heights,4,h,S,Miles,10.5,2,1,592.0,Banyule City Council,Eastern Metropolitan,2947.0,7
Heidelberg Heights,3,h,S,Barry,10.5,1,1,596.0,Banyule City Council,Eastern Metropolitan,2947.0,7
Heidelberg West,5,h,S,Nelson,9.4,2,2,415.0,Banyule City Council,Eastern Metropolitan,2674.0,3
Heidelberg West,3,h,S,Haughton,9.4,1,2,624.0,Banyule City Council,Eastern Metropolitan,2674.0,3
Heidelberg West,3,h,SP,William,9.4,1,1,523.0,Banyule City Council,Eastern Metropolitan,2674.0,3
Heidelberg West,2,h,SP,Miles,9.4,1,3,602.0,Banyule City Council,Eastern Metropolitan,2674.0,3
Heidelberg West,3,u,S,Barry,9.4,1,1,477.89685658153235,Banyule City Council,Eastern Metropolitan,2674.0,4
Heidelberg West,3,h,S,Barry,9.4,2,0,643.0,Banyule City Council,Eastern Metropolitan,2674.0,4
Heidelberg West,2,u,S,Miles,9.4,1,1,477.89685658153235,Banyule City Council,Eastern Metropolitan,2674.0,4
Heidelberg West,3,h,S,Barry,9.4,1,1,468.0,Banyule City Council,Eastern Metropolitan,2674.0,4
Heidelberg West,1,h,S,Nelson,9.4,1,2,374.0,Banyule City Council,Eastern Metropolitan,2674.0,6
Heidelberg West,2,t,VB,Miles,9.4,1,1,100.0,Banyule City Council,Eastern Metropolitan,2674.0,7
Heidelberg West,3,h,S,Miles,9.4,1,1,390.0,Banyule City Council,Eastern Metropolitan,2674.0,7
Heidelberg West,3,h,S,Barry,9.4,2,1,627.0,Banyule City Council,Eastern Metropolitan,2674.0,7
Heidelberg West,2,h,S,Nelson,9.4,1,2,650.0,Banyule City Council,Eastern Metropolitan,2674.0,8
Heidelberg West,2,h,S,Nelson,9.4,1,2,538.0,Banyule City Council,Eastern Metropolitan,2674.0,8
Heidelberg West,3,h,S,Nelson,9.4,1,1,605.0,Banyule City Council,Eastern Metropolitan,2674.0,8
Heidelberg West,3,h,S,Miles,9.4,1,2,192.0,Banyule City Council,Eastern Metropolitan,2674.0,10
Heidelberg West,3,h,S,William,9.4,1,1,594.0,Banyule City Council,Eastern Metropolitan,2674.0,10
Heidelberg West,3,h,S,Barry,9.4,1,0,649.0,Banyule City Council,Eastern Metropolitan,2674.0,11
Heidelberg West,3,h,S,Barry,9.4,1,0,589.0,Banyule City Council,Eastern Metropolitan,2674.0,11
Heidelberg West,2,h,S,Barry,9.4,1,1,331.0,Banyule City Council,Eastern Metropolitan,2674.0,12
Heidelberg West,3,h,S,Haughton,9.4,1,3,633.0,Banyule City Council,Eastern Metropolitan,2674.0,12
Heidelberg West,3,h,S,Haughton,9.4,1,2,648.7162568807339,Banyule City Council,Eastern Metropolitan,2674.0,12
Heidelberg West,2,h,S,Haughton,9.4,1,2,418.0,Banyule City Council,Eastern Metropolitan,2674.0,5
Heidelberg West,3,h,PI,Haughton,9.4,2,4,0.0,Banyule City Council,Eastern Metropolitan,2674.0,5
Heidelberg West,2,h,PI,Ray,9.4,1,2,668.0,Banyule City Council,Eastern Metropolitan,2674.0,4
Heidelberg West,2,h,SP,Miles,9.4,1,2,708.0,Banyule City Council,Eastern Metropolitan,2674.0,4
Heidelberg West,2,u,SP,Miles,9.4,1,1,89.0,Banyule City Council,Eastern Metropolitan,2674.0,4
Heidelberg West,2,h,S,hockingstuart,9.4,1,1,368.0,Banyule City Council,Eastern Metropolitan,2674.0,7
Heidelberg West,4,h,S,Miles,9.4,1,1,632.0,Banyule City Council,Eastern Metropolitan,2674.0,9
Heidelberg West,3,h,S,Ray,9.4,1,2,605.0,Banyule City Council,Eastern Metropolitan,2674.0,9
Heidelberg West,2,h,S,Barry,9.4,1,0,627.0,Banyule City Council,Eastern Metropolitan,2674.0,3
Heidelberg West,2,h,S,Barry,9.4,1,0,649.0,Banyule City Council,Eastern Metropolitan,2674.0,3
Heidelberg West,2,h,PI,C21,9.4,1,1,591.0,Banyule City Council,Eastern Metropolitan,2674.0,3
Heidelberg West,3,h,PI,Ray,9.4,1,1,338.0,Banyule City Council,Eastern Metropolitan,2674.0,6
Heidelberg West,4,h,S,Barry,9.4,2,2,521.0,Banyule City Council,Eastern Metropolitan,2674.0,11
Heidelberg West,2,h,VB,Nelson,9.4,1,2,594.0,Banyule City Council,Eastern Metropolitan,2674.0,5
Heidelberg West,3,h,S,Ray,9.4,1,2,616.0,Banyule City Council,Eastern Metropolitan,2674.0,5
Heidelberg West,3,h,PI,Ray,9.4,1,1,368.0,Banyule City Council,Eastern Metropolitan,2674.0,4
Heidelberg West,3,h,S,William,9.4,1,2,648.7162568807339,Banyule City Council,Eastern Metropolitan,2674.0,9
Heidelberg West,3,h,S,Miles,9.4,1,2,593.0,Banyule City Council,Eastern Metropolitan,2674.0,2
Heidelberg West,2,h,S,Barry,9.4,1,2,648.7162568807339,Banyule City Council,Eastern Metropolitan,2674.0,2
Heidelberg West,2,h,S,Haughton,9.4,1,3,609.0,Banyule City Council,Eastern Metropolitan,2674.0,2
Heidelberg West,1,h,S,Barry,9.4,1,1,588.0,Banyule City Council,Eastern Metropolitan,2674.0,7
Heidelberg West,2,h,S,Nelson,9.4,1,2,586.0,Banyule City Council,Eastern Metropolitan,2674.0,6
Heidelberg West,4,h,S,Fletchers,9.4,2,2,608.0,Banyule City Council,Eastern Metropolitan,2674.0,11
Heidelberg West,2,h,S,Haughton,9.4,1,3,632.0,Banyule City Council,Eastern Metropolitan,2674.0,11
Heidelberg West,2,h,S,Miles,9.4,1,1,583.0,Banyule City Council,Eastern Metropolitan,2674.0,11
Heidelberg West,3,h,S,Haughton,9.4,2,4,1.0,Banyule City Council,Eastern Metropolitan,2674.0,11
Heidelberg West,2,h,SP,Ray,9.4,1,1,422.0,Banyule City Council,Eastern Metropolitan,2674.0,5
Heidelberg West,3,h,S,Barry,9.4,1,2,372.0,Banyule City Council,Eastern Metropolitan,2674.0,5
Heidelberg West,3,h,S,Nelson,9.4,1,2,1179.0,Banyule City Council,Eastern Metropolitan,2674.0,5
Heidelberg West,4,t,SP,Jellis,9.4,2,2,286.9240214888718,Banyule City Council,Eastern Metropolitan,2674.0,5
Heidelberg West,3,h,PI,Nelson,9.4,1,1,536.0,Banyule City Council,Eastern Metropolitan,2674.0,5
Heidelberg West,3,h,S,Ray,9.4,1,1,413.0,Banyule City Council,Eastern Metropolitan,2674.0,8
Heidelberg West,3,h,SP,Ray,9.4,1,2,665.0,Banyule City Council,Eastern Metropolitan,2674.0,8
Hughesdale,2,h,S,Woodards,13.0,1,1,732.0,Monash City Council,Southern Metropolitan,3145.0,3
Hughesdale,2,u,S,Ray,13.0,1,1,0.0,Monash City Council,Southern Metropolitan,3145.0,3
Hughesdale,3,h,S,Ray,13.0,1,2,648.7162568807339,Monash City Council,Southern Metropolitan,3145.0,3
Hughesdale,3,h,S,Ray,13.0,1,1,705.0,Monash City Council,Southern Metropolitan,3145.0,3
Hughesdale,3,u,S,Ray,13.0,1,2,0.0,Monash City Council,Southern Metropolitan,3145.0,4
Hughesdale,3,h,S,Ray,13.0,1,2,715.0,Monash City Council,Southern Metropolitan,3145.0,6
Hughesdale,3,t,S,Ray,13.0,2,1,206.0,Monash City Council,Southern Metropolitan,3145.0,7
Hughesdale,3,h,S,Woodards,13.0,1,1,562.0,Monash City Council,Southern Metropolitan,3145.0,8
Hughesdale,2,u,S,Ray,13.0,1,1,101.0,Monash City Council,Southern Metropolitan,3145.0,10
Hughesdale,4,h,S,Woodards,13.0,2,2,847.0,Monash City Council,Southern Metropolitan,3145.0,10
Hughesdale,4,h,S,Woodards,13.0,2,1,547.0,Monash City Council,Southern Metropolitan,3145.0,10
Hughesdale,4,h,S,Ray,13.0,2,2,545.0,Monash City Council,Southern Metropolitan,3145.0,12
Hughesdale,2,u,VB,Woodards,13.0,1,1,0.0,Monash City Council,Southern Metropolitan,3145.0,12
Hughesdale,2,u,S,Gary,13.0,1,1,0.0,Monash City Council,Southern Metropolitan,3145.0,12
Hughesdale,3,h,S,Buxton,13.0,1,2,698.0,Monash City Council,Southern Metropolitan,3145.0,12
Hughesdale,4,h,S,Ray,13.0,1,1,369.0,Monash City Council,Southern Metropolitan,3145.0,8
Hughesdale,2,h,S,Woodards,13.0,1,1,546.0,Monash City Council,Southern Metropolitan,3145.0,10
Hughesdale,3,h,S,Barry,13.0,1,2,648.7162568807339,Monash City Council,Southern Metropolitan,3145.0,10
Hughesdale,4,h,S,Ray,13.0,1,2,696.0,Monash City Council,Southern Metropolitan,3145.0,10
Hughesdale,2,u,S,Fletchers,13.0,1,2,0.0,Monash City Council,Southern Metropolitan,3145.0,4
Hughesdale,3,u,S,Woodards,13.0,1,1,477.89685658153235,Monash City Council,Southern Metropolitan,3145.0,9
Hughesdale,2,u,PI,Ray,13.0,1,1,100.0,Monash City Council,Southern Metropolitan,3145.0,9
Hughesdale,2,u,S,Ray,13.0,1,1,0.0,Monash City Council,Southern Metropolitan,3145.0,6
Hughesdale,4,h,S,Ray,13.0,2,2,648.7162568807339,Monash City Council,Southern Metropolitan,3145.0,11
Hughesdale,3,h,S,Ray,13.0,1,2,730.0,Monash City Council,Southern Metropolitan,3145.0,8
Hughesdale,3,h,S,Ray,13.0,1,2,648.7162568807339,Monash City Council,Southern Metropolitan,3145.0,2
Hughesdale,4,h,S,Buxton,13.0,2,1,678.0,Monash City Council,Southern Metropolitan,3145.0,7
Hughesdale,3,t,S,Buxton,13.0,2,1,360.0,Monash City Council,Southern Metropolitan,3145.0,7
Hughesdale,4,h,S,Woodards,13.0,2,4,738.0,Monash City Council,Southern Metropolitan,3145.0,8
Hughesdale,2,h,PI,hockingstuart,13.0,1,4,575.0,Monash City Council,Southern Metropolitan,3145.0,7
Ivanhoe,2,u,VB,Miles,7.9,1,1,0.0,Banyule City Council,Eastern Metropolitan,5549.0,3
Ivanhoe,2,u,VB,Miles,7.9,1,1,0.0,Banyule City Council,Eastern Metropolitan,5549.0,3
Ivanhoe,1,u,SP,Miles,7.9,1,0,75.0,Banyule City Council,Eastern Metropolitan,5549.0,3
Ivanhoe,4,h,S,Nelson,7.9,3,2,610.0,Banyule City Council,Eastern Metropolitan,5549.0,3
Ivanhoe,4,h,VB,Nelson,7.9,2,2,648.7162568807339,Banyule City Council,Eastern Metropolitan,5549.0,4
Ivanhoe,4,h,S,Miles,7.9,2,2,925.0,Banyule City Council,Eastern Metropolitan,5549.0,4
Ivanhoe,3,h,VB,Miles,7.9,2,2,665.0,Banyule City Council,Eastern Metropolitan,5549.0,4
Ivanhoe,2,t,VB,Miles,7.9,1,2,286.9240214888718,Banyule City Council,Eastern Metropolitan,5549.0,4
Ivanhoe,2,u,SP,Miles,7.9,1,0,0.0,Banyule City Council,Eastern Metropolitan,5549.0,4
Ivanhoe,4,h,S,Nelson,7.9,2,2,638.0,Banyule City Council,Eastern Metropolitan,5549.0,4
Ivanhoe,3,t,S,Miles,7.9,2,1,108.0,Banyule City Council,Eastern Metropolitan,5549.0,4
Ivanhoe,3,h,S,Nelson,7.9,3,2,626.0,Banyule City Council,Eastern Metropolitan,5549.0,4
Ivanhoe,4,h,S,Jellis,7.9,2,2,1252.0,Banyule City Council,Eastern Metropolitan,5549.0,4
Ivanhoe,3,t,S,Nelson,7.9,2,2,249.0,Banyule City Council,Eastern Metropolitan,5549.0,4
Ivanhoe,2,u,S,Miles,7.9,1,1,477.89685658153235,Banyule City Council,Eastern Metropolitan,5549.0,6
Ivanhoe,2,u,S,Miles,7.9,1,1,0.0,Banyule City Council,Eastern Metropolitan,5549.0,7
Ivanhoe,2,u,S,Miles,7.9,1,1,648.0,Banyule City Council,Eastern Metropolitan,5549.0,7
Ivanhoe,3,h,S,Miles,7.9,1,1,571.0,Banyule City Council,Eastern Metropolitan,5549.0,7
Ivanhoe,3,h,S,Miles,7.9,2,0,399.0,Banyule City Council,Eastern Metropolitan,5549.0,7
Ivanhoe,3,h,S,Nelson,7.9,1,2,537.0,Banyule City Council,Eastern Metropolitan,5549.0,7
Ivanhoe,4,h,S,Nelson,7.9,1,1,586.0,Banyule City Council,Eastern Metropolitan,5549.0,7
Ivanhoe,2,h,S,Buckingham,7.9,1,1,557.0,Banyule City Council,Eastern Metropolitan,5549.0,10
Ivanhoe,3,h,S,Miles,7.9,1,1,614.0,Banyule City Council,Eastern Metropolitan,5549.0,10
Ivanhoe,2,h,S,Haughton,7.9,1,1,221.0,Banyule City Council,Eastern Metropolitan,5549.0,10
Ivanhoe,3,h,S,William,7.9,1,2,630.0,Banyule City Council,Eastern Metropolitan,5549.0,10
Ivanhoe,3,t,S,Woodards,7.9,2,2,0.0,Banyule City Council,Eastern Metropolitan,5549.0,10
Ivanhoe,2,u,S,Miles,7.9,1,1,94.0,Banyule City Council,Eastern Metropolitan,5549.0,10
Ivanhoe,2,u,S,Barry,7.9,1,1,0.0,Banyule City Council,Eastern Metropolitan,5549.0,10
Ivanhoe,1,u,S,Nelson,7.9,1,1,845.0,Banyule City Council,Eastern Metropolitan,5549.0,10
Ivanhoe,3,t,S,Miles,7.9,2,2,314.0,Banyule City Council,Eastern Metropolitan,5549.0,10
Ivanhoe,3,h,S,Ray,7.9,1,1,687.0,Banyule City Council,Eastern Metropolitan,5549.0,11
Ivanhoe,3,h,S,Nelson,7.9,2,2,608.0,Banyule City Council,Eastern Metropolitan,5549.0,12
Ivanhoe,2,u,S,Miles,7.9,1,1,721.0,Banyule City Council,Eastern Metropolitan,5549.0,12
Ivanhoe,5,h,S,Miles,7.9,3,2,648.7162568807339,Banyule City Council,Eastern Metropolitan,5549.0,12
Ivanhoe,2,u,SP,Miles,7.9,1,1,0.0,Banyule City Council,Eastern Metropolitan,5549.0,12
Ivanhoe,3,h,S,Jellis,7.9,1,2,648.7162568807339,Banyule City Council,Eastern Metropolitan,5549.0,8
Ivanhoe,4,h,S,Miles,7.9,2,2,648.7162568807339,Banyule City Council,Eastern Metropolitan,5549.0,8
Ivanhoe,3,h,S,Barry,7.9,1,2,677.0,Banyule City Council,Eastern Metropolitan,5549.0,5
Ivanhoe,2,u,S,Barry,7.9,1,1,795.0,Banyule City Council,Eastern Metropolitan,5549.0,5
Ivanhoe,2,t,VB,Miles,7.9,1,1,277.0,Banyule City Council,Eastern Metropolitan,5549.0,10
Ivanhoe,2,u,S,Barry,7.9,1,1,103.0,Banyule City Council,Eastern Metropolitan,5549.0,10
Ivanhoe,3,h,S,Miles,7.9,1,2,691.0,Banyule City Council,Eastern Metropolitan,5549.0,10
Ivanhoe,4,h,VB,Miles,7.9,2,1,694.0,Banyule City Council,Eastern Metropolitan,5549.0,10
Ivanhoe,3,h,S,Nelson,7.9,1,2,645.0,Banyule City Council,Eastern Metropolitan,5549.0,10
Ivanhoe,1,u,SP,Miles,7.9,1,1,55.0,Banyule City Council,Eastern Metropolitan,5549.0,4
Ivanhoe,3,t,S,Barry,7.9,1,1,110.0,Banyule City Council,Eastern Metropolitan,5549.0,4
Ivanhoe,2,u,VB,Fletchers,7.9,0,0,0.0,Banyule City Council,Eastern Metropolitan,5549.0,4
Ivanhoe,4,h,S,Miles,7.9,2,3,758.0,Banyule City Council,Eastern Metropolitan,5549.0,7
Ivanhoe,5,h,S,Nelson,7.9,2,2,689.0,Banyule City Council,Eastern Metropolitan,5549.0,9
Ivanhoe,2,t,S,Miles,7.9,1,2,152.0,Banyule City Council,Eastern Metropolitan,5549.0,9
Ivanhoe,3,h,S,Miles,7.9,2,2,684.0,Banyule City Council,Eastern Metropolitan,5549.0,3
Ivanhoe,4,h,S,Marshall,7.9,2,2,648.7162568807339,Banyule City Council,Eastern Metropolitan,5549.0,3
Ivanhoe,2,h,S,Nelson,7.9,1,2,760.0,Banyule City Council,Eastern Metropolitan,5549.0,3
Ivanhoe,5,h,S,Miles,7.9,3,1,1006.0,Banyule City Council,Eastern Metropolitan,5549.0,6
Ivanhoe,2,u,PI,Ray,7.9,1,1,71.0,Banyule City Council,Eastern Metropolitan,5549.0,11
Ivanhoe,3,h,VB,Miles,7.9,3,2,290.0,Banyule City Council,Eastern Metropolitan,5549.0,11
Ivanhoe,2,u,S,Miles,7.9,1,1,0.0,Banyule City Council,Eastern Metropolitan,5549.0,11
Ivanhoe,3,h,S,Nelson,7.9,1,1,597.0,Banyule City Council,Eastern Metropolitan,5549.0,5
Ivanhoe,3,h,VB,Nelson,7.9,2,2,834.0,Banyule City Council,Eastern Metropolitan,5549.0,5
Ivanhoe,3,h,S,Miles,7.9,1,1,596.0,Banyule City Council,Eastern Metropolitan,5549.0,5
Ivanhoe,2,t,S,Jellis,7.9,2,1,124.0,Banyule City Council,Eastern Metropolitan,5549.0,8
Ivanhoe,3,h,S,Nelson,7.9,2,2,721.0,Banyule City Council,Eastern Metropolitan,5549.0,8
Ivanhoe,2,u,S,Miles,7.9,2,2,147.0,Banyule City Council,Eastern Metropolitan,5549.0,8
Ivanhoe,4,h,S,Barry,7.9,2,3,631.0,Banyule City Council,Eastern Metropolitan,5549.0,8
Ivanhoe,3,h,SP,Miles,7.9,1,1,572.0,Banyule City Council,Eastern Metropolitan,5549.0,4
Ivanhoe,2,u,S,RT,7.9,1,1,199.0,Banyule City Council,Eastern Metropolitan,5549.0,9
Ivanhoe,4,h,S,Miles,7.9,1,2,605.0,Banyule City Council,Eastern Metropolitan,5549.0,9
Ivanhoe,1,u,SP,Nelson,7.9,1,1,0.0,Banyule City Council,Eastern Metropolitan,5549.0,9
Ivanhoe,4,h,S,Miles,7.9,3,2,608.0,Banyule City Council,Eastern Metropolitan,5549.0,2
Ivanhoe,3,h,S,Miles,7.9,1,1,648.7162568807339,Banyule City Council,Eastern Metropolitan,5549.0,2
Ivanhoe,4,h,S,Miles,7.9,2,2,650.0,Banyule City Council,Eastern Metropolitan,5549.0,2
Ivanhoe,3,t,S,Barry,7.9,2,1,189.0,Banyule City Council,Eastern Metropolitan,5549.0,6
Ivanhoe,5,h,S,Domain,7.9,3,1,455.0,Banyule City Council,Eastern Metropolitan,5549.0,11
Ivanhoe,3,h,S,Haughton,7.9,1,2,648.7162568807339,Banyule City Council,Eastern Metropolitan,5549.0,11
Ivanhoe,3,t,PI,Barry,7.9,1,1,139.0,Banyule City Council,Eastern Metropolitan,5549.0,11
Ivanhoe,4,h,S,Miles,7.9,3,3,719.0,Banyule City Council,Eastern Metropolitan,5549.0,5
Ivanhoe,3,h,SP,Miles,7.9,1,2,648.7162568807339,Banyule City Council,Eastern Metropolitan,5549.0,8
Ivanhoe,2,t,PI,Nelson,7.9,1,1,134.0,Banyule City Council,Eastern Metropolitan,5549.0,8
Ivanhoe,3,u,PI,Barry,7.9,2,2,0.0,Banyule City Council,Eastern Metropolitan,5549.0,8
Ivanhoe,2,u,SP,Miles,7.9,1,1,477.89685658153235,Banyule City Council,Eastern Metropolitan,5549.0,8
Ivanhoe,1,u,SP,hockingstuart,7.9,1,1,0.0,Banyule City Council,Eastern Metropolitan,5549.0,7
Kealba,4,h,SP,Barry,15.0,2,2,558.0,Brimbank City Council,Western Metropolitan,1202.0,3
Kealba,4,h,S,Brad,15.0,2,2,648.7162568807339,Brimbank City Council,Western Metropolitan,1202.0,4
Kealba,4,h,S,hockingstuart,15.0,2,2,579.0,Brimbank City Council,Western Metropolitan,1202.0,6
Kealba,3,h,SP,Brad,15.0,1,0,543.0,Brimbank City Council,Western Metropolitan,1202.0,7
Kealba,3,h,S,Nelson,15.0,1,2,648.7162568807339,Brimbank City Council,Western Metropolitan,1202.0,8
Kealba,4,h,S,YPA,15.0,2,2,558.0,Brimbank City Council,Western Metropolitan,1202.0,10
Kealba,3,t,S,Barry,15.0,1,2,286.9240214888718,Brimbank City Council,Western Metropolitan,1202.0,10
Kealba,3,h,S,Sweeney,15.0,1,4,597.0,Brimbank City Council,Western Metropolitan,1202.0,10
Kealba,4,h,S,Sweeney,15.0,3,5,654.0,Brimbank City Council,Western Metropolitan,1202.0,10
Kealba,3,h,SP,Brad,15.0,2,4,530.0,Brimbank City Council,Western Metropolitan,1202.0,7
Kealba,3,h,SP,Brad,15.0,2,2,570.0,Brimbank City Council,Western Metropolitan,1202.0,7
Kealba,3,h,S,Brad,15.0,1,0,534.0,Brimbank City Council,Western Metropolitan,1202.0,11
Kealba,4,h,S,McDonald,15.0,2,2,649.0,Brimbank City Council,Western Metropolitan,1202.0,11
Kealba,4,h,SP,Brad,15.0,1,2,574.0,Brimbank City Council,Western Metropolitan,1202.0,8
Kealba,4,h,SP,Brad,15.0,2,2,612.0,Brimbank City Council,Western Metropolitan,1202.0,9
Kealba,3,h,VB,Brad,15.0,2,1,119.0,Brimbank City Council,Western Metropolitan,1202.0,6
Kealba,3,h,SP,Brad,15.0,1,2,548.0,Brimbank City Council,Western Metropolitan,1202.0,5
Keilor East,3,h,S,Nelson,12.8,2,2,683.0,Brimbank City Council,Western Metropolitan,5629.0,3
Keilor East,3,h,VB,Nelson,12.8,1,2,648.7162568807339,Brimbank City Council,Western Metropolitan,5629.0,3
Keilor East,3,h,SP,Barry,12.8,1,1,538.0,Brimbank City Council,Western Metropolitan,5629.0,3
Keilor East,3,t,SP,Barry,12.8,2,1,331.0,Brimbank City Council,Western Metropolitan,5629.0,3
Keilor East,3,t,S,Nelson,12.8,2,1,184.0,Brimbank City Council,Western Metropolitan,5629.0,3
