Suburb,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bathroom,Car,Landsize,CouncilArea,Regionname,Propertycount
Reservoir,2,t,400000.0,VB,hockingstuart,22/05/2016,11.2,3073.0,,,,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,3,h,921500.0,S,Nelson,22/05/2016,11.2,3073.0,2.0,1.0,527.0,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,3,t,760000.0,S,Nelson,22/05/2016,11.2,3073.0,,,,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,2,h,596000.0,PI,Barry,22/05/2016,11.2,3073.0,,,,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,3,h,,PI,Ray,22/05/2016,11.2,3073.0,,,,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,2,t,490000.0,S,hockingstuart,22/05/2016,11.2,3073.0,1.0,1.0,126.0,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,3,h,787000.0,S,Stockdale,22/05/2016,11.2,3073.0,1.0,1.0,563.0,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,2,u,350000.0,PI,Ray,22/05/2016,11.2,3073.0,,,,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,2,u,300000.0,VB,Love,22/08/2016,11.2,3073.0,1.0,1.0,0.0,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,2,u,335000.0,S,Love,22/08/2016,11.2,3073.0,1.0,1.0,0.0,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,3,h,670500.0,S,Nelson,22/08/2016,11.2,3073.0,1.0,2.0,654.0,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,5,h,1050000.0,S,Ray,22/08/2016,11.2,3073.0,2.0,1.0,578.0,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,3,u,475000.0,SP,Barry,22/08/2016,11.2,3073.0,1.0,2.0,521.0,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,2,u,440000.0,SP,Barry,22/08/2016,11.2,3073.0,1.0,1.0,153.0,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,3,t,620000.0,SP,Nelson,22/08/2016,11.2,3073.0,,,,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,2,h,590000.0,S,Ray,22/08/2016,11.2,3073.0,,,,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,3,h,851500.0,S,Nelson,22/08/2016,11.2,3073.0,1.0,1.0,0.0,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,2,h,623500.0,S,Nelson,22/08/2016,11.2,3073.0,1.0,0.0,452.0,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,2,u,,VB,Barry,22/08/2016,11.2,3073.0,1.0,1.0,138.0,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,4,h,830000.0,PI,Ray,22/08/2016,11.2,3073.0,1.0,4.0,791.0,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,3,h,572000.0,S,Ray,23/04/2016,11.2,3073.0,1.0,2.0,41400.0,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,3,h,581000.0,S,Ray,23/04/2016,11.2,3073.0,,,,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,3,h,600000.0,S,Ray,23/04/2016,11.2,3073.0,2.0,2.0,0.0,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,3,h,450000.0,VB,Ray,23/04/2016,11.2,3073.0,2.0,2.0,185.0,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,2,t,360000.0,VB,Nelson,23/04/2016,11.2,3073.0,,,,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,2,u,525000.0,S,Harcourts,23/04/2016,11.2,3073.0,1.0,2.0,284.0,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,3,t,585000.0,S,Nelson,23/04/2016,11.2,3073.0,,,,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,3,h,1115000.0,S,Barry,23/04/2016,11.2,3073.0,,,,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,3,h,692500.0,S,Love,23/04/2016,11.2,3073.0,2.0,2.0,803.0,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,4,h,790000.0,S,Ray,23/04/2016,11.2,3073.0,2.0,2.0,1090.0,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,2,u,,PI,Harcourts,24/09/2016,11.2,3073.0,,,,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,3,h,785000.0,S,Love,24/09/2016,11.2,3073.0,1.0,1.0,719.0,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,3,h,625000.0,SP,Nelson,24/09/2016,11.2,3073.0,,,,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,2,h,840000.0,SP,Nelson,24/09/2016,11.2,3073.0,1.0,1.0,714.0,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,5,h,925000.0,S,Nelson,24/09/2016,11.2,3073.0,3.0,4.0,922.0,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,4,h,750500.0,S,Barry,24/09/2016,11.2,3073.0,,,,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,3,h,,SP,hockingstuart,24/09/2016,11.2,3073.0,1.0,4.0,869.0,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,3,t,680000.0,S,Nelson,24/09/2016,11.2,3073.0,,,,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,3,h,700000.0,S,Nelson,24/09/2016,11.2,3073.0,1.0,1.0,621.0,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,4,h,801000.0,S,Ray,24/09/2016,11.2,3073.0,1.0,2.0,771.0,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,1,u,216000.0,S,Brad,24/09/2016,11.2,3073.0,1.0,1.0,0.0,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,1,u,220000.0,S,Brad,24/09/2016,11.2,3073.0,1.0,1.0,0.0,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,3,h,600000.0,PI,Barry,24/09/2016,11.2,3073.0,,,,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,3,h,866000.0,S,Nelson,24/09/2016,11.2,3073.0,1.0,2.0,569.0,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,3,t,,SN,Brace,24/09/2016,11.2,3073.0,,,,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,2,u,340000.0,VB,Love,24/09/2016,11.2,3073.0,1.0,1.0,151.0,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,2,h,401000.0,S,Nelson,24/09/2016,11.2,3073.0,,,,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,2,h,500250.0,S,Harcourts,25/02/2017,11.2,3073.0,1.0,1.0,425.0,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,1,h,395000.0,SP,Purplebricks,25/02/2017,11.2,3073.0,1.0,1.0,94.0,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,3,h,810000.0,S,Barry,25/02/2017,11.2,3073.0,2.0,3.0,486.0,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,3,h,880000.0,S,Ray,25/02/2017,11.2,3073.0,,,,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,2,h,790000.0,S,Barry,25/02/2017,11.2,3073.0,1.0,1.0,585.0,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,2,t,,SP,Love,25/02/2017,11.2,3073.0,,,,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,3,h,707500.0,S,Ray,25/02/2017,11.2,3073.0,,,,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,3,h,767000.0,S,Love,25/02/2017,11.2,3073.0,,,,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,2,u,465000.0,S,Love,25/02/2017,11.2,3073.0,1.0,1.0,111.0,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,3,h,601000.0,S,Love,25/02/2017,11.2,3073.0,1.0,2.0,460.0,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,2,h,772000.0,S,Ray,25/02/2017,11.2,3073.0,1.0,1.0,0.0,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,3,h,660000.0,PI,Jellis,25/02/2017,11.2,3073.0,,,,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,2,h,968000.0,S,Love,25/02/2017,11.2,3073.0,1.0,2.0,631.0,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,2,h,,W,Ray,25/02/2017,11.2,3073.0,1.0,1.0,151.0,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,3,h,928000.0,S,Barry,25/02/2017,11.2,3073.0,1.0,1.0,696.0,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,2,u,300000.0,S,Love,26/07/2016,11.2,3073.0,1.0,1.0,87.0,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,2,t,420000.0,VB,Love,26/07/2016,11.2,3073.0,1.0,2.0,153.0,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,4,h,885000.0,S,hockingstuart,26/07/2016,11.2,3073.0,2.0,3.0,936.0,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,2,u,240000.0,PI,Stockdale,26/07/2016,11.2,3073.0,1.0,1.0,82.0,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,3,h,815000.0,S,Nelson,26/07/2016,11.2,3073.0,1.0,2.0,550.0,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,3,h,882500.0,S,Barry,26/07/2016,11.2,3073.0,2.0,2.0,681.0,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,3,h,793000.0,S,Barry,26/07/2016,11.2,3073.0,1.0,2.0,589.0,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,2,t,541000.0,SP,Ray,26/07/2016,11.2,3073.0,,,,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,3,h,,PI,Harcourts,26/07/2016,11.2,3073.0,2.0,2.0,544.0,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,3,h,450000.0,PI,Ray,27/06/2016,11.2,3073.0,,,,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,3,h,682400.0,S,Ray,27/06/2016,11.2,3073.0,,,,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,3,h,550000.0,PI,Barry,27/06/2016,11.2,3073.0,2.0,2.0,260.0,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,3,h,,SN,Harcourts,27/06/2016,11.2,3073.0,1.0,1.0,585.0,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,2,u,477000.0,S,Nelson,27/06/2016,11.2,3073.0,1.0,2.0,115.0,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,3,h,500000.0,PI,hockingstuart,27/06/2016,11.2,3073.0,,,,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,4,h,,S,Nelson,27/06/2016,11.2,3073.0,,,,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,2,u,433000.0,S,Ray,27/06/2016,11.2,3073.0,1.0,1.0,236.0,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,3,u,672000.0,S,Harcourts,27/06/2016,11.2,3073.0,1.0,2.0,855.0,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,2,h,680000.0,S,hockingstuart,27/06/2016,11.2,3073.0,1.0,1.0,750.0,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,3,h,822000.0,SP,Woodards,27/06/2016,11.2,3073.0,,,,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,3,h,751000.0,S,Love,27/11/2016,11.2,3073.0,1.0,2.0,604.0,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,3,h,,SP,Barry,27/11/2016,11.2,3073.0,2.0,2.0,531.0,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,5,h,820000.0,S,Ray,27/11/2016,11.2,3073.0,,,,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,3,h,540000.0,S,Stockdale,27/11/2016,11.2,3073.0,,,,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,3,h,851000.0,S,Barry,27/11/2016,11.2,3073.0,1.0,1.0,826.0,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,3,h,801000.0,S,Ray,27/11/2016,11.2,3073.0,,,,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,3,h,777000.0,S,Nelson,27/11/2016,11.2,3073.0,1.0,2.0,480.0,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,3,h,,S,Nelson,27/11/2016,11.2,3073.0,2.0,4.0,550.0,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,4,h,1162000.0,S,Barry,27/11/2016,11.2,3073.0,3.0,4.0,695.0,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,3,h,620000.0,SP,McGrath,27/11/2016,11.2,3073.0,1.0,2.0,653.0,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,3,h,1025000.0,S,RW,27/11/2016,11.2,3073.0,1.0,4.0,670.0,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,3,h,762500.0,S,Nelson,27/11/2016,11.2,3073.0,1.0,2.0,677.0,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,3,h,832000.0,S,Nelson,27/11/2016,11.2,3073.0,1.0,2.0,496.0,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,5,h,820000.0,SP,hockingstuart,27/11/2016,11.2,3073.0,2.0,2.0,737.0,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,2,u,468000.0,S,Stockdale,27/11/2016,11.2,3073.0,,,,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,3,h,756000.0,S,Nelson,27/11/2016,11.2,3073.0,,,,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,3,h,784000.0,S,Nelson,28/05/2016,11.2,3073.0,1.0,2.0,602.0,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,4,h,1186000.0,SP,Nelson,28/05/2016,11.2,3073.0,1.0,2.0,895.0,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,3,h,665000.0,S,Barry,28/05/2016,11.2,3073.0,1.0,1.0,467.0,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,2,u,405000.0,S,Barry,28/05/2016,11.2,3073.0,1.0,1.0,121.0,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,3,h,532000.0,SP,hockingstuart,28/05/2016,11.2,3073.0,,,,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,2,u,431000.0,S,Barry,28/05/2016,11.2,3073.0,1.0,1.0,139.0,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,3,t,580000.0,PI,Barry,28/05/2016,11.2,3073.0,,,,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,4,h,885000.0,S,Ray,28/05/2016,11.2,3073.0,2.0,2.0,508.0,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,3,u,550000.0,S,Barry,28/05/2016,11.2,3073.0,,,,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,3,h,718500.0,S,Nelson,28/05/2016,11.2,3073.0,1.0,6.0,807.0,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,5,h,762500.0,S,Nelson,28/05/2016,11.2,3073.0,2.0,2.0,548.0,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,2,h,615000.0,S,Barry,28/05/2016,11.2,3073.0,,,,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,3,h,737000.0,S,Barry,28/05/2016,11.2,3073.0,3.0,6.0,957.0,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,3,h,633000.0,SP,Ray,28/05/2016,11.2,3073.0,,,,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,5,h,,PI,McGrath,28/08/2016,11.2,3073.0,,,,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,2,t,,SN,Raine,28/08/2016,11.2,3073.0,1.0,1.0,119.0,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,3,h,,PN,Barry,28/08/2016,11.2,3073.0,2.0,1.0,370.0,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,3,h,,VB,Ray,28/08/2016,11.2,3073.0,1.0,1.0,743.0,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,3,h,,S,hockingstuart,28/08/2016,11.2,3073.0,1.0,1.0,466.0,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,3,h,,PI,Ray,28/08/2016,11.2,3073.0,,,,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,3,h,810000.0,S,Nelson,28/08/2016,11.2,3073.0,2.0,2.0,279.0,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,3,h,,PI,Harcourts,28/08/2016,11.2,3073.0,1.0,2.0,574.0,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,5,h,815000.0,PI,Nelson,28/08/2016,11.2,3073.0,,,,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,2,h,610000.0,S,Nelson,28/08/2016,11.2,3073.0,1.0,2.0,383.0,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,2,u,430000.0,S,Barry,28/08/2016,11.2,3073.0,1.0,1.0,152.0,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,2,h,730000.0,VB,Ray,28/08/2016,11.2,3073.0,1.0,2.0,637.0,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,4,h,680000.0,S,Ray,28/08/2016,11.2,3073.0,1.0,2.0,561.0,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,3,h,705000.0,S,Barry,30/07/2016,11.2,3073.0,1.0,1.0,437.0,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,3,h,705000.0,S,Ray,30/07/2016,11.2,3073.0,1.0,3.0,513.0,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,4,h,845000.0,S,Barry,30/07/2016,11.2,3073.0,,,,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,2,u,,PI,Love,30/07/2016,11.2,3073.0,1.0,1.0,77.0,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,2,u,,PI,Ray,30/07/2016,11.2,3073.0,1.0,1.0,96.0,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,2,u,,S,Ray,30/07/2016,11.2,3073.0,,,,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,4,h,,SN,Ray,30/07/2016,11.2,3073.0,1.0,3.0,585.0,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,2,u,390000.0,SP,Love,30/07/2016,11.2,3073.0,1.0,1.0,133.0,Darebin City Council,Northern Metropolitan,21650.0
Reservoir,3,h,,PI,Ray,30/07/2016,11.2,3073.0,1.0,1.0,785.0,Darebin City Council,Northern Metropolitan,21650.0
Richmond,2,h,937000.0,S,Biggin,3/09/2016,2.6,3121.0,1.0,1.0,125.0,Yarra City Council,Northern Metropolitan,14949.0
Richmond,3,h,1260000.0,S,Biggin,3/09/2016,2.6,3121.0,1.0,0.0,203.0,Yarra City Council,Northern Metropolitan,14949.0
Richmond,3,h,1820000.0,PI,Biggin,3/09/2016,2.6,3121.0,,,,Yarra City Council,Northern Metropolitan,14949.0
Richmond,3,t,1236000.0,S,Jellis,3/09/2016,2.6,3121.0,2.0,1.0,675.0,Yarra City Council,Northern Metropolitan,14949.0
Richmond,2,u,540000.0,PI,LITTLE,3/09/2016,2.6,3121.0,2.0,1.0,656.0,Yarra City Council,Northern Metropolitan,14949.0
Richmond,2,u,795250.0,S,hockingstuart,3/09/2016,2.6,3121.0,1.0,2.0,0.0,Yarra City Council,Northern Metropolitan,14949.0
Richmond,2,u,582000.0,S,Biggin,3/09/2016,2.6,3121.0,1.0,1.0,0.0,Yarra City Council,Northern Metropolitan,14949.0
Richmond,1,u,500000.0,SP,Domain,3/09/2016,2.6,3121.0,1.0,1.0,0.0,Yarra City Council,Northern Metropolitan,14949.0
Richmond,3,h,1600000.0,S,hockingstuart,3/12/2016,2.6,3121.0,2.0,1.0,115.0,Yarra City Council,Northern Metropolitan,14949.0
Richmond,3,h,2180000.0,PI,Blue,3/12/2016,2.6,3121.0,2.0,2.0,345.0,Yarra City Council,Northern Metropolitan,14949.0
Richmond,1,u,370000.0,S,Biggin,3/12/2016,2.6,3121.0,1.0,1.0,502.0,Yarra City Council,Northern Metropolitan,14949.0
Richmond,3,h,,S,Biggin,3/12/2016,2.6,3121.0,2.0,2.0,0.0,Yarra City Council,Northern Metropolitan,14949.0
Richmond,3,h,,S,Biggin,3/12/2016,2.6,3121.0,2.0,1.0,219.0,Yarra City Council,Northern Metropolitan,14949.0
Richmond,3,t,1025000.0,SP,Jellis,3/12/2016,2.6,3121.0,,,,Yarra City Council,Northern Metropolitan,14949.0
Richmond,2,u,630000.0,S,Biggin,3/12/2016,2.6,3121.0,,,,Yarra City Council,Northern Metropolitan,14949.0
Richmond,4,h,3335000.0,S,Jellis,3/12/2016,2.6,3121.0,2.0,2.0,319.0,Yarra City Council,Northern Metropolitan,14949.0
Richmond,2,u,,SP,Biggin,3/12/2016,2.6,3121.0,2.0,2.0,0.0,Yarra City Council,Northern Metropolitan,14949.0
Richmond,3,t,2250000.0,S,Jellis,3/12/2016,2.6,3121.0,,,,Yarra City Council,Northern Metropolitan,14949.0
Richmond,2,h,935000.0,S,Biggin,3/12/2016,2.6,3121.0,1.0,1.0,67.0,Yarra City Council,Northern Metropolitan,14949.0
Richmond,2,h,1100000.0,SP,Biggin,3/12/2016,2.6,3121.0,,,,Yarra City Council,Northern Metropolitan,14949.0
Richmond,3,h,1102000.0,S,Dingle,4/02/2016,2.6,3121.0,2.0,0.0,194.0,Yarra City Council,Northern Metropolitan,14949.0
Richmond,2,u,,PI,Biggin,4/02/2016,2.6,3121.0,2.0,1.0,0.0,Yarra City Council,Northern Metropolitan,14949.0
Richmond,3,h,,PI,Marshall,4/03/2017,2.6,3121.0,3.0,2.0,127.0,Yarra City Council,Northern Metropolitan,14949.0
Richmond,1,u,437500.0,SP,Biggin,4/03/2017,2.6,3121.0,1.0,1.0,778.0,Yarra City Council,Northern Metropolitan,14949.0
Richmond,1,u,421000.0,SP,Biggin,4/03/2017,2.6,3121.0,1.0,1.0,8223.0,Yarra City Council,Northern Metropolitan,14949.0
Richmond,2,u,479000.0,S,Biggin,4/03/2017,2.6,3121.0,1.0,1.0,534.0,Yarra City Council,Northern Metropolitan,14949.0
Richmond,5,h,3200000.0,SP,Jellis,4/03/2017,2.6,3121.0,3.0,3.0,618.0,Yarra City Council,Northern Metropolitan,14949.0
Richmond,2,u,479000.0,S,Jellis,4/03/2017,2.6,3121.0,1.0,1.0,0.0,Yarra City Council,Northern Metropolitan,14949.0
Richmond,3,h,,SP,hockingstuart,4/03/2017,2.6,3121.0,2.0,2.0,429.0,Yarra City Council,Northern Metropolitan,14949.0
Richmond,2,h,1042500.0,S,hockingstuart,4/03/2017,2.6,3121.0,1.0,1.0,80.0,Yarra City Council,Northern Metropolitan,14949.0
Richmond,2,u,655000.0,PI,hockingstuart,4/03/2017,2.6,3121.0,1.0,1.0,1725.0,Yarra City Council,Northern Metropolitan,14949.0
Richmond,2,h,1130000.0,S,Biggin,4/03/2017,2.6,3121.0,2.0,3.0,114.0,Yarra City Council,Northern Metropolitan,14949.0
Richmond,2,u,561000.0,S,Biggin,4/03/2017,2.6,3121.0,1.0,1.0,2571.0,Yarra City Council,Northern Metropolitan,14949.0
Richmond,2,u,635000.0,S,Biggin,4/03/2017,2.6,3121.0,2.0,1.0,2740.0,Yarra City Council,Northern Metropolitan,14949.0
Richmond,3,h,1010000.0,PI,Jellis,4/06/2016,2.6,3121.0,1.0,1.0,199.0,Yarra City Council,Northern Metropolitan,14949.0
Richmond,2,h,1025000.0,S,Jellis,4/06/2016,2.6,3121.0,1.0,1.0,169.0,Yarra City Council,Northern Metropolitan,14949.0
Richmond,2,u,555000.0,S,Biggin,4/06/2016,2.6,3121.0,,,,Yarra City Council,Northern Metropolitan,14949.0
Richmond,2,h,1102000.0,S,Biggin,4/06/2016,2.6,3121.0,1.0,1.0,167.0,Yarra City Council,Northern Metropolitan,14949.0
Richmond,2,h,720000.0,S,Biggin,6/08/2016,2.6,3121.0,,,,Yarra City Council,Northern Metropolitan,14949.0
Richmond,2,u,550000.0,SP,Jellis,6/08/2016,2.6,3121.0,1.0,2.0,0.0,Yarra City Council,Northern Metropolitan,14949.0
Richmond,2,h,,S,Biggin,6/08/2016,2.6,3121.0,1.0,0.0,210.0,Yarra City Council,Northern Metropolitan,14949.0
Richmond,3,h,1152500.0,S,Biggin,6/08/2016,2.6,3121.0,2.0,1.0,78.0,Yarra City Council,Northern Metropolitan,14949.0
Richmond,4,h,1375000.0,S,hockingstuart,6/08/2016,2.6,3121.0,2.0,2.0,58.0,Yarra City Council,Northern Metropolitan,14949.0
Richmond,3,h,1422000.0,S,hockingstuart,6/08/2016,2.6,3121.0,1.0,0.0,339.0,Yarra City Council,Northern Metropolitan,14949.0
Richmond,2,h,1506000.0,S,Biggin,7/05/2016,2.6,3121.0,2.0,1.0,220.0,Yarra City Council,Northern Metropolitan,14949.0
Richmond,3,h,1350000.0,PI,Peter,7/05/2016,2.6,3121.0,1.0,2.0,332.0,Yarra City Council,Northern Metropolitan,14949.0
Richmond,3,h,1090000.0,S,Biggin,7/05/2016,2.6,3121.0,1.0,3.0,283.0,Yarra City Council,Northern Metropolitan,14949.0
Richmond,3,t,,S,Jellis,7/05/2016,2.6,3121.0,2.0,2.0,221.0,Yarra City Council,Northern Metropolitan,14949.0
Richmond,2,u,,PI,Biggin,7/05/2016,2.6,3121.0,1.0,1.0,0.0,Yarra City Council,Northern Metropolitan,14949.0
Richmond,1,u,405000.0,PI,McGrath,7/05/2016,2.6,3121.0,1.0,1.0,7455.0,Yarra City Council,Northern Metropolitan,14949.0
Richmond,2,h,,PI,Biggin,7/11/2016,2.6,3121.0,2.0,1.0,71.0,Yarra City Council,Northern Metropolitan,14949.0
Richmond,1,u,327000.0,S,Biggin,7/11/2016,2.6,3121.0,1.0,1.0,0.0,Yarra City Council,Northern Metropolitan,14949.0
Richmond,3,h,1474000.0,SP,Marshall,7/11/2016,2.6,3121.0,1.0,0.0,238.0,Yarra City Council,Northern Metropolitan,14949.0
Richmond,3,h,1555000.0,S,Marshall,7/11/2016,2.6,3121.0,1.0,0.0,250.0,Yarra City Council,Northern Metropolitan,14949.0
Richmond,3,h,,PI,Biggin,7/11/2016,2.6,3121.0,2.0,1.0,101.0,Yarra City Council,Northern Metropolitan,14949.0
Richmond,1,u,,SS,MSM,7/11/2016,2.6,3121.0,1.0,1.0,0.0,Yarra City Council,Northern Metropolitan,14949.0
Richmond,1,u,500000.0,VB,Jellis,7/11/2016,2.6,3121.0,1.0,1.0,0.0,Yarra City Council,Northern Metropolitan,14949.0
Richmond,2,u,785000.0,SP,Biggin,7/11/2016,2.6,3121.0,,,,Yarra City Council,Northern Metropolitan,14949.0
Richmond,2,u,815000.0,S,Jellis,7/11/2016,2.6,3121.0,2.0,2.0,0.0,Yarra City Council,Northern Metropolitan,14949.0
Richmond,1,u,345000.0,S,Biggin,7/11/2016,2.6,3121.0,1.0,0.0,0.0,Yarra City Council,Northern Metropolitan,14949.0
Richmond,1,u,345000.0,PI,Ray,8/10/2016,2.6,3121.0,1.0,1.0,8223.0,Yarra City Council,Northern Metropolitan,14949.0
Richmond,3,h,1275000.0,PI,Jellis,8/10/2016,2.6,3121.0,1.0,2.0,204.0,Yarra City Council,Northern Metropolitan,14949.0
Richmond,4,t,,SP,Jellis,8/10/2016,2.6,3121.0,,,,Yarra City Council,Northern Metropolitan,14949.0
Richmond,2,h,,S,Jellis,8/10/2016,2.6,3121.0,1.0,1.0,189.0,Yarra City Council,Northern Metropolitan,14949.0
Richmond,3,h,1150000.0,VB,Jellis,8/10/2016,2.6,3121.0,1.0,0.0,176.0,Yarra City Council,Northern Metropolitan,14949.0
